id	Year	Postcode	Individuals	Taxable_income	Net_tax	Gross_interest	Net_rent	Net_capital_gain	Total_income	Total_deductions	Salary	Medicare_levy	Medicare_levy_surcharge	Total_work_related_expenses	Gifts	HELP_debt
200602210	2006	2210	12150	570847406	136364731	14715092	-12113614	10416033	602311765	31002884	466103853	7949307	250445	16984759	1934084	804467
200602211	2006	2211	7180	328191847	76870360	6568109	-7195492	4796545	342868270	14541461	282652047	4588339	199309	9647191	1004370	499515
200602212	2006	2212	5735	250166635	56210105	3856918	-5973302	3040671	261837780	11300096	226485086	3477456	160081	8107444	799688	369133
200602213	2006	2213	9000	428227319	102273860	7434180	-8390395	6182965	447711335	19353324	370522963	6044152	233655	12645910	1160399	508254
200602214	2006	2214	2200	102284055	23583001	1736990	-2691583	1687336	107415821	5104763	88972185	1443040	46725	3171233	254842	99924
200602216	2006	2216	11710	484369399	106391015	10745646	-8151764	7903774	512181545	27574615	436492147	6543347	335741	19477621	2477855	980274
200602217	2006	2217	11420	522774593	123915622	14418896	-10213157	10783560	551596513	28439739	440995155	7175605	313794	17763036	1796867	913162
200602218	2006	2218	6620	289827453	66043774	5856954	-7091882	4466890	304109124	14239455	263955151	4037223	168197	10364482	973410	578443
200602219	2006	2219	5600	288218147	72851913	10079147	-5009751	7418584	306575996	18263190	218274872	4056961	152824	9211688	784176	326608
200602220	2006	2220	12150	497968665	111317479	13240981	-11218372	9475450	524602931	26501276	435398086	6699736	255346	17450118	1663067	1054179
200602221	2006	2221	7585	446914744	123634342	18079692	-6848919	15404527	477295637	30155921	299633458	6341467	154587	12256192	1698241	571141
200602222	2006	2222	5605	260174856	62013521	6035393	-4498926	4198299	273454214	13230693	224351981	3613597	149264	7909223	889592	421895
200602223	2006	2223	10020	553177832	147113149	15010874	-8475356	18257944	584865256	31432708	440646185	7828300	254614	14260220	2132316	843125
200602224	2006	2224	6810	415920992	118800766	14823582	-5766965	37291984	444876319	28713342	258156708	5899956	157539	11118432	1807384	404289
200602225	2006	2225	2785	168726976	47010978	3654852	-4555451	7306269	177477098	8727772	133005046	2414103	50855	5054818	419072	159967
200602226	2006	2226	6335	342490766	88569572	6243402	-7053438	7321484	359898980	17228542	288183900	4891638	154783	9853441	1147253	475260
200602227	2006	2227	7015	374536665	95854546	7546259	-8587250	7861133	396007079	21384211	315460513	5316631	156094	12333778	971945	494740
200602228	2006	2228	8810	438703261	109201742	12228156	-8198959	10540569	464986955	26096023	350072485	6119586	207171	14277202	1261916	609067
